"";"from_name";"NATUREZA";"modularity_class";"shares_soma_c";"likes"
"630";"Indio da Costa";"Políticos/partidos";"Centro";87892;34411
"631";"Antialienação mental";"Criadores Digitais";"Esquerda";87699;32179
"632";"Flavio Serafini";"Políticos/partidos";"Esquerda";87536;33840
"633";"FolhaPE";"Imprensa";"Centro";87287;128608
"634";"Você Não Está Sozinho";"Criadores Digitais";"Direita";86810;120497
"635";"Zero à esquerda";"Criadores Digitais";"Direita";86002;6936
"636";"Revista Sociedade Militar";"Mídia Alternativa";"Direita";85995;38894
"637";"Pastor Silas Malafaia Me Representa";"Criadores Digitais";"Direita";85869;1387869
"638";"Tasso Jereissati";"Políticos/partidos";"Centro";85623;81864
"639";"Libertroll";"Criadores Digitais";"Direita";85247;84096
"640";"Boicote o Consumismo";"Criadores Digitais";"Esquerda";85140;137987
"641";"Endireita Fortaleza";"Criadores Digitais";"Direita";84971;47061
"642";"Ceticismo";"Criadores Digitais";"Esquerda";84679;165448
"643";"Beyoncé Feminista";"Criadores Digitais";"Esquerda";84460;241937
"644";"TV Reviravolta";"Criadores Digitais";"Centro-Esquerda";84398;17527
"645";"Marconi Perillo";"Políticos/partidos";"Centro-Direita";84318;229193
"646";"Aqueles Comentários Reacionários nada a ver com Imagens Sem Sentido";"Criadores Digitais";"Esquerda";84286;108188
"647";"Ancelmo Gois";"Imprensa";"Centro";84106;73949
"648";"Voz da Liberdade Brasil";"Criadores Digitais";"Direita";83971;253121
"649";"Esquerda Valente";"Criadores Digitais";"Centro-Esquerda";83920;85426
"650";"AjudaLuciana";"Criadores Digitais";"Esquerda";83824;80444
"651";"MTST - Movimento dos Trabalhadores Sem-Teto";"Sociedade Civil";"Esquerda";83700;93155
"652";"Ação Corrente do Bem";"Criadores Digitais";"Esquerda";83608;46955
"653";"Eleitores do Aécio";"Criadores Digitais";"Esquerda";83250;35422
"654";"POVO SEM MEDO";"Sociedade Civil";"Esquerda";83173;93211
"655";"Eduardo Braga";"Políticos/partidos";"Centro";83098;288174
"656";"Povo Valente";"Criadores Digitais";"Direita";82728;43269
"657";"Nunca Antes";"Criadores Digitais";"Centro-Esquerda";82434;138299
"658";"André Caramante";"Mídia Alternativa";"Esquerda";82429;13186
"659";"Milicia da Paz";"Criadores Digitais";"Direita";81355;39866
"660";"Um quê de Marx";"Criadores Digitais";"Esquerda";81321;37848
"661";"Anuário da Corrupção Brasileira";"Criadores Digitais";"Direita";81006;3361
"662";"José Airton Cirilo";"Políticos/partidos";"Centro-Esquerda";80374;18558
"663";"As Mina na História";"Criadores Digitais";"Esquerda";80238;381392
"664";"Benedita da Silva";"Políticos/partidos";"Centro-Esquerda";79457;36308
"665";"CaiaFarsa";"Criadores Digitais";"Direita";78856;139564
"666";"André Puccinelli";"Políticos/partidos";"Centro";78780;79580
"667";"Empiricus Research";"Sociedade Civil";"Direita";78720;858977
"668";"Justificando";"Mídia Alternativa";"Esquerda";78689;145029
"669";"Renan Filho";"Políticos/partidos";"Centro";78632;212024
"670";"Deputado Manato";"Políticos/partidos";"Centro";78489;14180
"671";"PT Ceará";"Políticos/partidos";"Centro-Esquerda";78369;7761
"672";"PCdoB na Câmara";"Políticos/partidos";"Centro-Esquerda";78333;40708
"673";"Ponte Jornalismo";"Mídia Alternativa";"Esquerda";78271;71480
"674";"Democratas";"Políticos/partidos";"Centro-Direita";77568;175847
"675";"Julian Lemos";"Sociedade Civil";"Direita";77546;17934
"676";"APP-Sindicato";"Sociedade Civil";"Centro";77483;102706
"677";"Monopólio da Informação - combata isto.";"Criadores Digitais";"Centro-Esquerda";77450;22348
"678";"As Melhores Perolas da Esquerda";"Criadores Digitais";"Direita";77130;145689
"679";"Diga NÃO ao anonimato";"Criadores Digitais";"Centro-Esquerda";76915;12845
"680";"Rede de Informações Anarquistas";"Sociedade Civil";"Esquerda";76841;85816
"681";"Menos Marx, mais Mises";"Criadores Digitais";"Direita";76320;38975
"682";"Clarissa Garotinho";"Políticos/partidos";"Centro";75610;157831
"683";"Lei Islâmica em Ação";"Criadores Digitais";"Direita";75505;21087
"684";"Vem Pra Direita Brasil";"Criadores Digitais";"Direita";75455;26920
"685";"Roberto Tripoli";"Políticos/partidos";"Centro";75403;140038
"686";"Campanha pela Constituinte do Sistema Político";"Sociedade Civil";"Centro-Esquerda";74781;66657
"687";"La Banda Loka Liberal";"Criadores Digitais";"Direita";74392;61133
"688";"Memes messiânicos";"Criadores Digitais";"Centro-Esquerda";74024;28052
"689";"Luiz Couto";"Políticos/partidos";"Centro-Esquerda";73964;50594
"690";"Instituto Liberal";"Sociedade Civil";"Direita";73754;79151
"691";"Todos Contra a Corrupção";"Sociedade Civil";"Centro-Esquerda";73580;41420
"692";"#NãoMeCalarei";"Criadores Digitais";"Esquerda";73319;41862
"693";"Observatório do Povo da Rua";"Mídia Alternativa";"Esquerda";73216;17641
"694";"Deputado Federal Zeca Dirceu";"Políticos/partidos";"Centro-Esquerda";73140;54691
"695";"Inácio Arruda";"Políticos/partidos";"Centro-Esquerda";72839;33526
"696";"Revista Vírus";"Mídia Alternativa";"Esquerda";72290;97826
"697";"Marcus Vinicius Motta";"Sociedade Civil";"Direita";72198;16436
"698";"Aécio Zuero";"Criadores Digitais";"Direita";72175;82625
"699";"Fuja da Caverna";"Criadores Digitais";"Esquerda";72161;69350
"700";"Eleições Liberais";"Criadores Digitais";"Direita";72054;35806
"701";"PSDB SP";"Políticos/partidos";"Centro-Direita";71792;34255
"702";"Stanley Burburinho";"Criadores Digitais";"Centro-Esquerda";71239;62830
"703";"Deputado Estadual Rogério Correia";"Políticos/partidos";"Centro-Esquerda";71201;20332
"704";"Vascomunistas";"Sociedade Civil";"Esquerda";70573;4686
"705";"Paulo Eduardo Gomes";"Políticos/partidos";"Esquerda";70388;52756
"706";"Izalci Lucas";"Políticos/partidos";"Centro-Direita";69970;28240
"707";"Portal Curió";"Criadores Digitais";"Direita";69686;420417
"708";"Impeachment Dilma Rousseff";"Sociedade Civil";"Direita";69261;28977
"709";"Tradutores de Direita";"Criadores Digitais";"Direita";69003;164201
"710";"Confúcio Moura";"Políticos/partidos";"Centro";68899;60579
"711";"Carl Sagan Irônico";"Criadores Digitais";"Esquerda";68847;153559
"712";"Voz Conservadora";"Criadores Digitais";"Direita";68845;8972
"713";"Diário Causa Operária Online";"Mídia Alternativa";"Esquerda";68711;40008
"714";"Exército Vermelho";"Criadores Digitais";"Centro-Esquerda";68639;43731
"715";"Imprensa Internacional Denuncia o Golpe";"Mídia Alternativa";"Centro-Esquerda";68323;59509
"716";"Humor 13";"Criadores Digitais";"Direita";67972;449760
"717";"Dinis Pinheiro";"Políticos/partidos";"Centro";67756;61137
"718";"UJS-Brasil";"Sociedade Civil";"Centro-Esquerda";67412;71615
"719";"Libertar";"Criadores Digitais";"Direita";67372;31507
"720";"Ricardo Ferraço";"Políticos/partidos";"Centro";67290;131326
"721";"Mendonça Filho";"Políticos/partidos";"Centro-Direita";66679;125495
"722";"Renato Cinco";"Políticos/partidos";"Esquerda";66594;157130
"723";"Jair Bolsonaro";"Criadores Digitais";"Direita";66547;65860
"724";"Le Monde Diplomatique Brasil";"Imprensa";"Centro-Esquerda";66539;188888
"725";"Renato Casagrande";"Políticos/partidos";"Centro";66482;129055
"726";"José Carlos Aleluia";"Políticos/partidos";"Direita";66102;52756
"727";"BandNews FM Curitiba";"Imprensa";"Centro";66074;238926
"728";"PSB Nacional 40";"Políticos/partidos";"Centro";66021;184808
"729";"Fora Alckmin";"Criadores Digitais";"Centro-Esquerda";65677;15282
"730";"Rui Falcão";"Políticos/partidos";"Centro-Esquerda";65315;77397
"731";"Cida Borghetti";"Políticos/partidos";"Centro";65205;34983
"732";"Cirão da Massa";"Criadores Digitais";"Esquerda";65152;124865
"733";"Homofobia Não";"Sociedade Civil";"Esquerda";64744;115939
"734";"Bob Fernandes";"Imprensa";"Centro-Esquerda";64219;56414
"735";"Debate";"Criadores Digitais";"Centro-Esquerda";64169;24510
"736";"Sociedade Dos Ateus";"Criadores Digitais";"Esquerda";63770;67398
"737";"Rodrigo Constantino";"Sociedade Civil";"Direita";63756;56117
"738";"De Olho Nos Ruralistas";"Mídia Alternativa";"Esquerda";63579;20811
"739";"Conservador Opressor";"Criadores Digitais";"Direita";63538;6516
"740";"Paulinho da Força";"Políticos/partidos";"Centro";63401;67207
"741";"Coletivo Desentorpecendo A Razão";"Sociedade Civil";"Esquerda";63275;125921
"742";"Meme consciente";"Criadores Digitais";"Esquerda";62716;15432
"743";"Edmilson Rodrigues";"Políticos/partidos";"Esquerda";62346;73785
"744";"Lídice da Mata";"Políticos/partidos";"Centro";62096;74438
"745";"Ana Paula Lima";"Políticos/partidos";"Centro-Esquerda";62018;27579
"746";"Patrus Ananias";"Políticos/partidos";"Centro-Esquerda";62016;27572
"747";"Retrogrado Reaça";"Criadores Digitais";"Direita";62015;46181
"748";"Lauro Jardim";"Imprensa";"Centro";61885;69828
"749";"O Cidadão Patriota";"Criadores Digitais";"Direita";61728;13637
"750";"Brasil29";"Criadores Digitais";"Centro-Esquerda";61541;103570
"751";"Anonymous Rio";"Sociedade Civil";"Esquerda";61433;193398
"752";"Fora Temer e Cunha na cadeia.";"Criadores Digitais";"Centro-Esquerda";61099;110739
"753";"Rosangela Gomes";"Políticos/partidos";"Centro";60782;35141
"754";"Coxinha Reacionário";"Criadores Digitais";"Direita";60771;5049
"755";"Trave a Batalha da Comunicação - Democratização da Mídia";"Sociedade Civil";"Centro-Esquerda";60369;49918
"756";"Suma Apologética";"Criadores Digitais";"Direita";60330;86636
"757";"Fernanda Melchionna";"Políticos/partidos";"Esquerda";60078;20760
"758";"Anarcomiguxos lll";"Criadores Digitais";"Direita";59920;77931
"759";"Parada Hetero Brasil";"Criadores Digitais";"Direita";59783;148583
"760";"Brasil contra o PT";"Criadores Digitais";"Direita";59685;14925
"761";"Daniel Coelho";"Políticos/partidos";"Centro-Direita";59498;180038
"762";"Eliomar Coelho";"Políticos/partidos";"Esquerda";59392;19552
"763";"Associação Nacional dos Militares do Brasil - ANMB";"Sociedade Civil";"Direita";59180;21536
"764";"Paulo Souto";"Políticos/partidos";"Centro-Direita";58912;74171
"765";"O Sentença";"Criadores Digitais";"Esquerda";58635;20421
"766";"Direita já";"Criadores Digitais";"Direita";58517;24665
"767";"Eunício Oliveira";"Políticos/partidos";"Centro";57744;57940
"768";"Dilma Na Balada";"Criadores Digitais";"Direita";57705;64476
"769";"Instituto Humanitas Unisinos";"Sociedade Civil";"Centro-Esquerda";57484;41134
"770";"Nasce de Você a Revolução";"Criadores Digitais";"Esquerda";57183;144297
"771";"Fundação Fernando Henrique Cardoso";"Sociedade Civil";"Centro-Direita";56847;182589
"772";"Orlando Morando";"Políticos/partidos";"Centro-Direita";56836;40304
"773";"Eu Amo a Bíblia Sagrada";"Criadores Digitais";"Direita";56822;206195
"774";"Marcos Alexandre Santos";"Sociedade Civil";"Direita";56815;117618
"775";"Ficha Social";"Criadores Digitais";"Direita";56785;35877
"776";"Luiz Caetano";"Políticos/partidos";"Centro-Esquerda";56670;34490
"777";"Geraldo Resende";"Políticos/partidos";"Centro";56436;36295
"778";"Eu MORO com ele  #rosangelawolffmoro";"Criadores Digitais";"Direita";56417;589590
"779";"MIDIA Repasses de Noticias";"Mídia Alternativa";"Direita";56191;8996
"780";"Movimento Viva Brasil";"Sociedade Civil";"Direita";55968;92843
"781";"Por um Brasil Direito";"Criadores Digitais";"Direita";55907;14194
"782";"Nordeste de Direita";"Criadores Digitais";"Direita";55819;4394
"783";"Kennedy Alencar";"Imprensa";"Centro";55304;88455
"784";"Sou de Direita";"Criadores Digitais";"Direita";55268;5373
"785";"Jornalismo Wando";"Mídia Alternativa";"Centro-Esquerda";54936;35039
"786";"Minas sem PT";"Criadores Digitais";"Direita";54863;7262
"787";"Pepe Vargas";"Políticos/partidos";"Centro-Esquerda";54744;14991
"788";"Raimundo Colombo";"Políticos/partidos";"Centro";54740;69821
"789";"Podemos Mais";"Criadores Digitais";"Esquerda";54558;28321
"790";"Ronaldo Martins";"Políticos/partidos";"Centro-Direita";54447;31741
"791";"Damares Alves";"Sociedade Civil";"Direita";54234;20778
"792";"Sindicato dos Metroviários de São Paulo";"Sociedade Civil";"Esquerda";54205;82361
"793";"PSL - Partido Social Liberal";"Políticos/partidos";"Direita";54175;122574
"794";"Plataforma Política Social";"Sociedade Civil";"Centro-Esquerda";53818;31287
"795";"Roberto Cláudio";"Políticos/partidos";"Centro";53311;214516
"796";"Brasil com Bolsonaro";"Criadores Digitais";"Direita";53308;35160
"797";"Partido Comunista Brasileiro - PCB";"Políticos/partidos";"Esquerda";53233;106794
"798";"Deputado José Guimarães";"Políticos/partidos";"Centro-Esquerda";52632;57171
"799";"Paulo Batista";"Sociedade Civil";"Direita";52204;34844
"800";"PSC Nacional";"Políticos/partidos";"Direita";52131;133428
"801";"Família Católica";"Criadores Digitais";"Direita";52124;28013
"802";"Iara Bernardi";"Políticos/partidos";"Centro-Esquerda";52080;12588
"803";"MudaBrasil 2018";"Criadores Digitais";"Direita";52007;154128
"804";"Envolverde";"Mídia Alternativa";"Esquerda";51734;317360
"805";"Save the Amazonas";"Criadores Digitais";"Esquerda";51581;51196
"806";"Weverton Rocha";"Políticos/partidos";"Centro";51536;62071
"807";"Jornal O Badernista - A missão";"Mídia Alternativa";"Esquerda";51360;48325
"808";"Bemvindo Sequeira";"Sociedade Civil";"Centro-Esquerda";50563;70994
"809";"Sinpro Sindicato Dos Professores";"Sociedade Civil";"Centro-Esquerda";50506;37784
"810";"Aécio Papelão";"Criadores Digitais";"Centro-Esquerda";50444;30558
"811";"Somos Brasileiros";"Sociedade Civil";"Direita";50208;4865
"812";"Fernando Gabeira";"Políticos/partidos";"Centro";50164;154533
"813";"EBC na Rede";"Imprensa";"Centro-Esquerda";50079;142416
"814";"Sargento Rodrigues";"Políticos/partidos";"Centro-Direita";50012;68866
"815";"Artur Virgílio Neto";"Políticos/partidos";"Centro-Direita";49780;184116
"816";"Valmir Assunção";"Políticos/partidos";"Centro-Esquerda";49594;29759
"817";"Fora Eduardo Cunha";"Criadores Digitais";"Centro-Esquerda";49094;78378
"818";"Rodrigo Neves";"Sociedade Civil";"Direita";48918;22705
"819";"As Contradições da Esquerda";"Criadores Digitais";"Direita";48628;45574
"820";"Ana Estela Haddad";"Políticos/partidos";"Centro-Esquerda";48573;14336
"821";"Black Bloc RJ";"Sociedade Civil";"Esquerda";48564;95777
"822";"Deputado Federal Vicentinho";"Políticos/partidos";"Centro-Esquerda";48522;95262
"823";"Amigos da Guarda Civil";"Sociedade Civil";"Direita";48415;58515
"824";"Leonardo Monteiro";"Políticos/partidos";"Centro-Esquerda";47954;12703
"825";"Valmir Prascidelli";"Políticos/partidos";"Centro-Esquerda";47853;16084
"826";"Gustavo Petta";"Políticos/partidos";"Centro-Esquerda";47725;11725
"827";"Brasil, Um País De Otários";"Criadores Digitais";"Direita";47207;15097
"828";"Diário do Grande ABC";"Imprensa";"Centro";47193;178799
"829";"Henrique Vieira";"Políticos/partidos";"Esquerda";47067;24581
"830";"Revista Brasileiros";"Mídia Alternativa";"Centro-Esquerda";46914;79667
"831";"Luciana Santos";"Políticos/partidos";"Centro-Esquerda";46914;94882
"832";"BrasilBall";"Criadores Digitais";"Direita";46913;114239
"833";"PE Com Dilma13";"Criadores Digitais";"Centro-Esquerda";46551;14350
"834";"Pesadelo Político";"Criadores Digitais";"Direita";46308;11522
"835";"Jornal do Comércio";"Imprensa";"Centro";46210;222966
"836";"Geraldo Magela";"Políticos/partidos";"Centro-Esquerda";46181;34714
"837";"Vermelho À Esquerda";"Criadores Digitais";"Esquerda";45674;44560
"838";"Rogério Marinho";"Políticos/partidos";"Centro-Direita";45645;47082
"839";"Genius à Esquerda";"Criadores Digitais";"Direita";45607;14988
"840";"Ruy Carneiro";"Políticos/partidos";"Centro-Direita";45603;98410
"841";"BETO Hitler: Governador Ostentação";"Criadores Digitais";"Centro-Esquerda";45575;26133
"842";"Minas Sem Censura Msc";"Mídia Alternativa";"Centro-Esquerda";45570;15023
"843";"Libertários";"Sociedade Civil";"Direita";45331;91790
"844";"Homer Anarquista";"Criadores Digitais";"Esquerda";45278;28741
"845";"Jornal A Verdade";"Mídia Alternativa";"Esquerda";44914;23003
"846";"SPressoSP";"Mídia Alternativa";"Esquerda";44889;20728
"847";"O Homem Católico";"Criadores Digitais";"Direita";44661;69288
"848";"Movimento Contra Corrupção - Rio de Janeiro";"Sociedade Civil";"Direita";44316;13257
"849";"Eu voto Dilma 13 em 2014";"Criadores Digitais";"Centro-Esquerda";44313;70659
"850";"Tadeu Veneri";"Políticos/partidos";"Centro-Esquerda";44092;20511
"851";"Fabio Ostermann";"Sociedade Civil";"Direita";43916;34695
"852";"Magic Reaça";"Criadores Digitais";"Esquerda";43880;29530
"853";"Marx da Revolução";"Criadores Digitais";"Esquerda";43768;39475
"854";"Portal do Movimento Popular";"Mídia Alternativa";"Centro-Esquerda";43688;96550
"855";"Diego Garcia";"Políticos/partidos";"Centro";43507;30972
"856";"Contra o Aborto";"Sociedade Civil";"Direita";43298;59887
"857";"Contra Comunismo";"Criadores Digitais";"Direita";43243;45464
"858";"Ucho.info";"Mídia Alternativa";"Direita";42956;10303
"859";"Movimento de Restauração da Monarquia no Brasil";"Sociedade Civil";"Direita";42833;35759
"860";"MBL - Movimento Brasil Livre Curitiba";"Sociedade Civil";"Direita";42733;23900
"861";"Manifesto POA";"Criadores Digitais";"Esquerda";42631;32383
"862";"Romero Jucá";"Políticos/partidos";"Centro";42549;319873
"863";"Militantes Petistas";"Sociedade Civil";"Centro-Esquerda";42486;4689
"864";"Marcelo Aguiar";"Políticos/partidos";"Centro-Direita";42368;446583
"865";"Cultura Verde";"Sociedade Civil";"Esquerda";42357;22407
"866";"Márcio Marinho";"Políticos/partidos";"Centro";42113;34659
"867";"Comunique13";"Criadores Digitais";"Centro-Esquerda";41920;17316
"868";"Jornal Folha Popular";"Mídia Alternativa";"Centro-Esquerda";41652;10474
"869";"Mães pela Diversidade";"Sociedade Civil";"Esquerda";41632;129457
"870";"Libertarianismo";"Criadores Digitais";"Direita";41624;75539
"871";"Direita Blindada";"Criadores Digitais";"Centro-Esquerda";41604;4947
"872";"Deputado Luis Carlos Heinze";"Políticos/partidos";"Centro-Direita";41462;35859
"873";"Dollynho Puritano 2.0";"Criadores Digitais";"Direita";41320;63796
"874";"Preta e Acadêmica";"Mídia Alternativa";"Esquerda";41150;133316
"875";"Celso Russomanno";"Políticos/partidos";"Centro";41098;688993
"876";"Batman DOS Protestos";"Criadores Digitais";"Direita";41015;36197
"877";"Dce Livre da USP";"Sociedade Civil";"Esquerda";40873;54252
"878";"O Retrógrado";"Criadores Digitais";"Direita";40620;122458
"879";"Gigantes Brasileiros";"Criadores Digitais";"Direita";40466;63519
"880";"Olívio Dutra";"Políticos/partidos";"Centro-Esquerda";40430;35102
"881";"Pós-Moderno";"Criadores Digitais";"Esquerda";40122;50118
"882";"Ovelhas Voadoras";"Criadores Digitais";"Direita";39896;324165
"883";"Orlando Silva";"Políticos/partidos";"Centro-Esquerda";39588;33323
"884";"A Tarde Online";"Imprensa";"Centro";39354;179241
"885";"Professor Lemos";"Políticos/partidos";"Centro-Esquerda";39198;82697
"886";"Deputado Federal Lincoln Portela";"Políticos/partidos";"Centro";38912;19286
"887";"Cesar Maia";"Políticos/partidos";"Centro-Direita";38501;33998
"888";"Occupy Brazil";"Criadores Digitais";"Esquerda";38489;40819
"889";"Estadomiguxos";"Criadores Digitais";"Direita";38415;46965
"890";"FORA DILMA";"Criadores Digitais";"Direita";38383;35366
"891";"Cidadania e Fé";"Criadores Digitais";"Direita";38244;27035
"892";"José Aníbal";"Políticos/partidos";"Centro-Direita";38205;40716
"893";"FORA DILMA";"Criadores Digitais";"Esquerda";38125;34074
"894";"Fábio Faria";"Políticos/partidos";"Centro";38080;59436
"895";"Folha do Povo";"Criadores Digitais";"Direita";37887;94699
"896";"Anonymous FUEL";"Sociedade Civil";"Esquerda";37834;25047
"897";"Fiesp";"Sociedade Civil";"Centro";37745;262038
"898";"Movimento Brasil Livre - GO";"Sociedade Civil";"Direita";37653;35455
"899";"Federação Única dos Petroleiros";"Sociedade Civil";"Centro-Esquerda";37541;17066
"900";"e-farsas";"Sociedade Civil";"Centro-Esquerda";37394;169683
"901";"Alex Manente";"Políticos/partidos";"Centro";37326;35317
"902";"Paulo Abi-Ackel";"Políticos/partidos";"Centro-Direita";37307;25891
"903";"Causa Imperial";"Sociedade Civil";"Direita";37198;29178
"904";"Sociologia da Depressão";"Criadores Digitais";"Esquerda";37184;90466
"905";"Fernando Bezerra Coelho";"Políticos/partidos";"Centro";37156;102808
"906";"Verdade Gospel";"Mídia Alternativa";"Direita";37146;257532
"907";"Meu Rio";"Sociedade Civil";"Esquerda";37120;111430
"908";"Revolução Já!!!";"Criadores Digitais";"Esquerda";37002;31730
"909";"Veja Rio";"Imprensa";"Direita";36884;225788
"910";"Mauro Mariani";"Políticos/partidos";"Centro";36881;21510
"911";"Fora Tucanada";"Criadores Digitais";"Centro-Esquerda";36807;30525
"912";"Põe o dedo aqui";"Criadores Digitais";"Direita";36704;17643
"913";"Fundação Perseu Abramo";"Sociedade Civil";"Centro-Esquerda";36688;23108
"914";"Darcísio Perondi";"Políticos/partidos";"Centro";36666;24366
"915";"Juventude Decidida";"Criadores Digitais";"Centro-Esquerda";36633;61607
"916";"Fernando Rodrigues";"Imprensa";"Centro";36621;49624
"917";"Armas Brasil";"Criadores Digitais";"Direita";36519;129534
"918";"Anarco Ciclistas";"Criadores Digitais";"Esquerda";36371;41049
"919";"MEC DA DEPRESSÃO";"Criadores Digitais";"Direita";36351;16553
"920";"Eu Odeio a Rede Globo";"Criadores Digitais";"Centro-Esquerda";36312;17853
"921";"Megacidadania";"Criadores Digitais";"Centro-Esquerda";36238;5067
"922";"Stefano Aguiar";"Políticos/partidos";"Centro";36146;20322
"923";"Muda Brasil: Fora Corruptos";"Criadores Digitais";"Direita";36124;15630
"924";"PSDB - Nunca Mais";"Criadores Digitais";"Centro-Esquerda";36055;20069
"925";"FORA Dilma, e leve o PT junto";"Criadores Digitais";"Direita";35789;21223
"926";"Janete Pieta";"Políticos/partidos";"Centro-Esquerda";35771;30609
"927";"Vereador Leonel Brizola";"Políticos/partidos";"Centro-Esquerda";35744;19788
"928";"Juventude Judaica Organizada";"Sociedade Civil";"Direita";35691;38501
"929";"Sapatomica";"Criadores Digitais";"Esquerda";35642;158360
"930";"Brasil da Mudança";"Criadores Digitais";"Centro-Esquerda";35602;27327
"931";"Eu sou a favor do casamento civil entre pessoas do mesmo sexo no Brasil";"Sociedade Civil";"Esquerda";35352;101517
"932";"Mario Covas Neto";"Políticos/partidos";"Centro-Direita";35300;7866
"933";"Navalha na Carne";"Criadores Digitais";"Esquerda";35063;9494
"934";"Cidade Verde";"Imprensa";"Centro-Esquerda";34962;283972
"935";"Jornal Voz das Comunidades";"Mídia Alternativa";"Esquerda";34450;79405
"936";"Juventude PSDB";"Sociedade Civil";"Centro-Direita";34430;33921
"937";"COMPadilhando";"Criadores Digitais";"Centro-Esquerda";34425;14516
"938";"Walter Sorrentino";"Políticos/partidos";"Centro-Esquerda";34401;25033
"939";"Intervenção Militar";"Sociedade Civil";"Direita";34379;63649
"940";"Felipe Camozzato";"Políticos/partidos";"Direita";34374;14517
"941";"FocoLiberal";"Criadores Digitais";"Direita";34351;16421
"942";"Caserna das FFAA";"Criadores Digitais";"Direita";34340;39491
"943";"Simão Jatene";"Políticos/partidos";"Centro-Direita";34328;61339
"944";"O Comunista Nu";"Criadores Digitais";"Direita";34171;4459
"945";"Aposto que consigo encontrar 1 Milhão de pessoas que odeiam a Globo";"Criadores Digitais";"Centro-Esquerda";34144;19355
"946";"A esquerda me enganava até eu conhecer essa página";"Criadores Digitais";"Direita";34105;15240
"947";"Arolde de Oliveira";"Políticos/partidos";"Centro";34023;48124
"948";"Ocupa MinC RJ";"Sociedade Civil";"Centro-Esquerda";34013;50623
"949";"Adelmo Carneiro Leão";"Políticos/partidos";"Centro-Esquerda";33866;13883
"950";"Candidato de Carreira";"Criadores Digitais";"Centro-Esquerda";33716;9484
"951";"Mansão Diego Alcântara";"Criadores Digitais";"Direita";33695;18863
"952";"Sindicato dos Petroleiros de Minas Gerais - Sindipetro MG";"Sociedade Civil";"Centro-Esquerda";33606;9243
"953";"Nilmário Miranda";"Políticos/partidos";"Centro-Esquerda";33562;35668
"954";"Acorda povo.";"Criadores Digitais";"Centro";33431;4331
"955";"Otto Alencar";"Políticos/partidos";"Centro-Esquerda";33397;49697
"956";"Instituto Mimimises";"Criadores Digitais";"Esquerda";33366;53668
"957";"Católicas Direito de Decidir";"Sociedade Civil";"Esquerda";33342;37334
"958";"PDT Nacional";"Políticos/partidos";"Centro";33309;44231
"959";"Paulo Bauer";"Políticos/partidos";"Centro-Direita";33288;35641
"960";"CSP - Conlutas";"Sociedade Civil";"Esquerda";33222;16903
"961";"Rodrigo Maia";"Políticos/partidos";"Centro";32916;45669
"962";"Complexo Alemao";"Criadores Digitais";"Esquerda";32889;43114
"963";"Direita Brasil, pátria Amada";"Criadores Digitais";"Direita";32788;35499
"964";"Sóstenes Cavalcante";"Políticos/partidos";"Centro";32629;93197
"965";"RADIO VOX";"Mídia Alternativa";"Direita";32555;62770
"966";"Economia Estadão";"Imprensa";"Direita";32492;334178
"967";"SP invisível";"Sociedade Civil";"Esquerda";32472;340847
"968";"ANPG";"Sociedade Civil";"Centro-Esquerda";32421;21691
"969";"Noam Chomsky Brasil";"Criadores Digitais";"Esquerda";32392;4830
"970";"Comunista deprê";"Criadores Digitais";"Direita";32361;12230
"971";"Juventude Judaica Organizada";"Sociedade Civil";"Direita";32352;16129
"972";"Eu Voto Distrital";"Sociedade Civil";"Direita";32342;53875
"973";"Instituto Lula";"Sociedade Civil";"Centro-Esquerda";32257;24909
"974";"Stalinismo anarcocapitalista";"Criadores Digitais";"Esquerda";32184;44001
"975";"Raimundo Matos";"Políticos/partidos";"Centro-Direita";32130;21286
"976";"Oposição Reunida";"Criadores Digitais";"Direita";32080;6515
"977";"Azamiga das minas";"Criadores Digitais";"Centro-Esquerda";32008;6541
"978";"Esquerdizando";"Criadores Digitais";"Esquerda";32005;163119
"979";"Rede Social Comunistas";"Criadores Digitais";"Esquerda";31977;31902
"980";"Aécio NEVER";"Criadores Digitais";"Centro-Esquerda";31764;27702
"981";"Arrependidos do PT";"Criadores Digitais";"Direita";31661;2956
"982";"Mídia Independente Coletiva-MIC";"Mídia Alternativa";"Esquerda";31583;106167
"983";"PSOL na Câmara";"Políticos/partidos";"Esquerda";31581;47353
"984";"Brasil geopolitica e defesa";"Criadores Digitais";"Centro-Esquerda";31578;41999
"985";"Bule Voador";"Criadores Digitais";"Esquerda";31540;84822
"986";"Occupy São Paulo";"Criadores Digitais";"Esquerda";31470;12111
"987";"Anti-Esquerda";"Criadores Digitais";"Direita";31210;2565
"988";"Aulas de História";"Criadores Digitais";"Centro-Esquerda";31138;20059
"989";"Assis Carvalho";"Políticos/partidos";"Centro-Esquerda";31005;43674
"990";"Anonymous Brasil";"Sociedade Civil";"Esquerda";31003;527800
"991";"Eduardo Cury";"Políticos/partidos";"Centro-Direita";30865;32053
"992";"Blogueiras feministas";"Sociedade Civil";"Esquerda";30840;86072
"993";"Ricardo Izar - Deputado Federal";"Políticos/partidos";"Centro";30659;40063
"994";"Andes-SN";"Sociedade Civil";"Esquerda";30414;28421
"995";"Nilson Leitão";"Políticos/partidos";"Centro-Direita";30238;32664
"996";"Direita Forte";"Criadores Digitais";"Direita";30232;29587
"997";"CONSERVADORES";"Criadores Digitais";"Direita";30182;3378
